"All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI","All Digital HI"
51684,"AGC242557",8428,78,17,1,"hgm2011","ALFA",8428,88,83,78,17,,1.71,5.5,1,6.9
51685,"AGC009275",1288,190,8,1,"hgm2011","ALFA",1288,202,199,190,8,48.4,25.94,5.2,1,63.4
51688,"AGC240387",7508,248,20,1,"shg2005","AOlf",7508,268,257,248,20,1.3,1.27,8.7,1,2.4
51697,"AGC540102",2757,196,18,1,"shg2005","GB300",2757,212,204,196,18,4.1,6.22,11.2,1,14.2
51700,"AGC240395",8812,185,18,1,"shg2005","AOlf",8812,204,194,185,18,4.2,0.65,8.8,1,1.5
51702,"ES385-028",4157,166,16,1,"tmc2006","Nanc",4157,182,174,166,16,6.3,4.77,10.8,1,12.4
51706,"AGC009283",4308,751,16,1,"hgm2011","ALFA",4308,774,760,751,16,6.3,12.24,5.3,1,8.1
51713,"UGC09291",2888,250,19,1,"shg2005","GB140",2888,264,259,250,19,3.4,8.98,4.2,1,16.6
51717,"AGC240388",8085,183,18,1,"hgm2011","ALFA",8085,200,192,183,18,,1.91,5.5,1,4.8
51725,"UGC09287",4202,240,19,1,"shg2005","AOlf",4202,257,249,240,19,2.7,1.34,8.6,1,2.1
51730,"UGC09290",3574,244,19,1,"shg2005","AOlf",3574,260,253,244,19,3.7,3.79,8.6,1,6.7
51732,"UGC09286",7614,472,18,1,"shg2005","AOlf",7614,498,481,472,18,4.1,1.89,8.6,1,1.7
51733,"UGC09294",,,,,"shg2005","AOlf",4164,223,216,,25,2.6,2.53,8.6,1,5.4
51736,"UGC09293",,,,,"shg2005","AOlf",5257,192,184,,25,3.6,1.44,8.7,1,2.8
51739,"AGC241551",8054,297,19,1,"hgm2011","ALFA",8054,317,306,297,19,,2.1,5.5,1,3.3
51741,"UGC09285",1858,144,18,1,"shg2005","AOlf",1858,157,152,144,18,4.7,1.97,8.4,1,6.1
51745,"UGC09303",4274,209,19,1,"shg2005","AOlf",4274,225,218,209,19,2.8,2.8,8.6,1,6.2
51747,"UGC09302",3530,183,18,1,"shg2005","AOlf",3530,198,191,183,18,5.1,1.63,8.4,1,4.5
51750,"AGC240401",8082,222,18,1,"shg2005","AOlf",8082,242,231,222,18,3.4,1.64,8.7,1,3.3
51753,"P0051753",,,,,"ctf2009","GBT",,,,,500,1.7,1.86,1.6,4,1.3
51764,"UGC09296",8894,58,14,1,"shg2005","AOlf",8894,68,62,58,14,9.1,1.36,8.8,1,6.1
51767,"UGC009355",2108,189,16,1,"archi12","GBT",2108,206,198,189,16,5.8,1.91,3.2,4,4.3
51768,"ES511-044",7755,419,20,1,"tmc2006","Nanc",7755,450,428,419,20,5.3,4.63,11.1,2,5.1
51776,"ES385-031",3113,128,13,1,"ctm2010","GBT",3113,140,135,128,13,9.9,2.61,1.6,4,8.8
51779,"UGC09312",,,,,"shg2005","AOlf",8575,445,428,,35,1.4,1.45,8.8,1,2.1
51780,"UGC09299",1543,173,7,2,"shg2005","AOlf",1545,182,177,168,8,71.3,27.71,8.3,1,71.7
51784,"UGC09309",10173,344,19,1,"shg2005","AOlf",10173,370,353,344,19,3.4,3.21,8.8,1,4.3
51790,"AGC240408",,,,,"shg2005","AOlf",7450,365,352,,25,1.4,0.56,8.7,1,0.8
51793,"AGC240411",5262,231,15,1,"shg2005","AOlf",5262,249,240,231,15,7.9,2.54,8.5,1,5.1
51808,"UGC09311",1714,196,8,1,"shg2005","AOlf",1714,210,205,196,8,16.8,4.33,8.4,1,10.1
51814,"NGC05653",3566,312,13,2,"ctf2009","GBT",3571,333,325,316,20,9,5.14,2.1,4,6.8
51818,"UGC09316",5311,297,18,1,"shg2005","AOlf",5311,316,306,297,18,4.2,2.53,8.6,1,2.2
51819,"UGC09317",4431,49,8,1,"shg2005","AOlf",4431,57,52,49,8,37.5,5.39,8.7,1,37.5
51820,"AGC030669",2840,264,17,1,"shg2005","GB140",2840,278,273,264,17,4.8,10.35,4.2,1,18.1
51822,"ES385-033",3050,159,8,2,"tmc2006","Nanc",3050,174,167,158,10,25.5,24.12,10.8,1,67
51829,"UGC09322",5098,185,17,1,"shg2005","AOlf",5098,201,193,185,17,6.1,1.67,8.7,1,3.5
51830,"NGC005667",,,,,"tmc2006","Nanc",1938,217,210,,100,11.1,14.24,10.7,1,32.6
51831,"NGC05656",3159,357,8,1,"ctf2009","AOG",3159,372,366,357,8,17.3,9.84,1.3,4,13.1
51840,"UGC09330",5138,194,8,1,"shg2005","AOlf",5138,211,203,194,8,22.2,4.33,8.5,1,7.7
51846,"UGC09328",1364,177,7,2,"shg2005","GB140",1366,190,188,179,15,8.1,19.37,2.1,1,50.9
51851,"ES511-046",4388,195,14,1,"tmc2006","Nanc",4388,212,203,195,14,9,5.74,10.9,1,13.1
51854,"AGC240420",12158,360,18,1,"shg2005","AOlf",12158,389,369,360,18,4.3,2.04,8.9,1,2.6
51857,"UGC09333",5215,188,8,1,"shg2005","AOlf",5215,205,197,188,8,60.4,7.27,8.5,1,15.5
51864,"UGC09340",4554,127,18,1,"shg2005","AOlf",4554,141,135,127,18,4.7,2.96,8.7,1,9.2
51865,"UGC09334",7525,407,16,1,"shg2005","AOlf",7525,431,416,407,16,7.2,9.91,8.8,1,11.2
51875,"UGC09342",4494,354,19,1,"shg2005","AOlf",4494,373,363,354,19,3.8,3.23,8.5,1,4.2
51877,"AGC240425",4462,95,9,1,"hgm2011","ALFA",4462,105,101,95,9,15.4,4.43,5.3,1,16.9
51878,"UGC09338",8250,355,19,1,"shg2005","AOlf",8250,379,364,355,19,3.1,4.08,8.8,1,5.7
51883,"AGC009339",8076,351,19,1,"hgm2011","ALFA",8076,373,360,351,19,2.5,2.2,5.5,1,2.8
51890,"ES447-017",6572,543,16,1,"tmc2006","Nanc",6572,570,552,543,16,6.8,12.62,11,1,11
51893,"AGC240429",6773,233,9,1,"shg2005","AOlf",6773,252,242,233,9,15,3.48,8.6,1,6.1
51900,"ES579-025",7164,285,16,1,"tmc2006","Nanc",7164,307,294,285,16,6.1,4.65,11.1,1,7.3
51901,"UGC09347",2080,256,12,1,"shg2005","GB300",2080,270,265,256,12,11.8,17.17,5.6,1,31
51902,"ES511-050",,,,,"tmc2006","Nanc",2564,193,186,,100,6.5,4.78,10.7,1,9.9
51905,"IC0004444",1962,163,15,1,"ksk2004","PAKS",1962,179,171,163,15,7.7,25.66,13.4,1,55
51909,"UGC09345",2340,211,8,1,"shg2005","AOlf",2340,226,220,211,8,24.9,3.53,8.4,1,6.6
51912,"AGC240431",2189,180,8,1,"shg2005","AOlf",2189,194,188,180,8,17.8,5.47,8.4,1,13.9
51915,"AGC240435",13305,98,20,1,"shg2005","AOlf",13305,118,104,98,20,3.9,1.85,8.9,2,5.2
51920,"AGC241572",9937,179,19,1,"hgm2011","ALFA",9937,197,188,179,19,2.8,1.52,5.5,1,3.2
51921,"AGC009346",2356,250,8,1,"hgm2011","ALFA",2356,264,259,250,8,29.7,21.44,5.2,1,39.6
51922,"PG0051922",,,,,"tmc2006","Nanc",1922,414,406,,100,6.7,15.41,10.7,1,18.5
51932,"UGC09358",1906,383,11,1,"shg2005","GB300",1906,400,392,383,11,13.1,20.9,11.1,1,25.9
51933,"AGC240438",2401,109,8,1,"hgm2011","ALFA",2401,119,115,109,8,19.5,10.2,5.2,1,30.6
51942,"AGC241971",4800,97,15,1,"hgm2011","ALFA",4800,107,103,97,15,7.4,2.55,5.3,1,10.2
51945,"AGC240441",1383,160,14,1,"shg2005","AOlf",1383,173,168,160,14,8.3,4.24,8.3,1,11.5
51948,"E447-019",3863,333,12,2,"ctf2009","GBT",3861,352,344,335,16,6.3,4.33,1.6,4,5.9
51953,"UGC09352",2237,194,12,1,"shg2005","AOlf",2237,209,203,194,12,11.8,5.85,8.5,1,11.3
51955,"IC0001029",2378,444,10,1,"ctm2010","GBT",2378,460,453,444,10,14,12.15,1.6,4,13
51958,"AGC009351",7003,206,17,1,"hgm2011","ALFA",7003,223,215,206,17,5,3.02,5.3,1,6.8
51963,"ES447-022",,,,,"archi12","GBT",6888,422,406,,50,5.4,2.53,3.3,4,2.9
51964,"NGC05672",3535,241,8,1,"ctf2009","AOG",3535,256,250,241,8,30.6,8.57,1.3,4,16.2
51969,"NGC005643",1199,186,13,1,"ksk2004","PAKS",1199,202,195,186,13,24.1,57.83,13.3,1,126.9
51971,"AGC240444",1529,146,8,1,"shg2005","AOlf",1529,159,154,146,8,19.2,5.9,8.3,1,17.8
51972,"ES222-009",4292,348,18,1,"archi12","PAKS",4292,364,357,348,18,3.7,3.17,1.7,2,4
51973,"UGC09353",1368,182,8,1,"shg2005","AOlf",1368,196,191,182,8,102,34.36,8.3,1,82.5
51977,"AGC240456",9618,199,16,1,"shg2005","AOlf",9618,219,208,199,16,6,0.96,8.8,1,2.1
51978,"UGC09366",2106,443,9,1,"shg2005","GB300",2106,461,452,443,9,15.9,32.2,11.1,1,34.7
51982,"AGC540107",4167,196,10,2,"shg2005","GB300",4169,215,206,197,13,9.9,10.72,5.7,2,17
51983,"AGC241156",2274,149,14,1,"hgm2011","ALFA",2274,161,157,149,14,9.3,3.94,5.2,1,12
51984,"AGC009356",2245,193,8,1,"hgm2011","ALFA",2245,206,202,193,8,28.6,14.69,5.2,1,33.6
51995,"AGC009360",2226,185,12,1,"hgm2011","ALFA",2226,198,194,185,12,10.8,5.32,5.2,1,13.5
51997,"AGC240459",5235,233,16,1,"shg2005","AOlf",5235,251,242,233,16,6.3,3.19,8.5,1,6.3
52000,"AGC240458",8288,89,15,1,"shg2005","AOlf",8288,102,95,89,15,7.6,1.43,8.7,1,6.8
52003,"AGC240460",7907,109,19,1,"shg2005","AOlf",7907,123,115,109,19,2.3,0.65,8.7,1,2.6
52005,"IC0001028",5305,386,17,1,"archi12","GBT",5305,405,395,386,17,4.6,3.83,3.2,2,4.6
52006,"UGC009359",4154,205,13,1,"ctm2010","GBT",4154,220,214,205,13,9.9,4.49,1.6,4,10.2
52012,"AGC241204",4786,229,13,1,"hgm2011","ALFA",4786,244,238,229,13,9.8,6.05,5.3,1,12.2
52016,"AGC009364",2159,169,10,1,"hgm2011","ALFA",2159,182,178,169,10,14,6.17,5.2,1,16.7
52018,"UGC09363",1584,93,8,1,"shg2005","AOlf",1584,103,98,93,8,153.4,27.02,8.3,1,110
52030,"UGC009377",3050,130,15,1,"ctm2010","GBT",3050,146,138,130,15,7.3,1.61,1.6,8,5.5
52033,"NGC005664",4543,471,18,1,"tmc2006","Nanc",4543,493,480,471,18,4,3.36,10.6,1,3.4
52036,"UGC009376",,,,,"tmc2006","Nanc",7633,435,419,,100,2.5,2.46,11.1,1,2.7
52042,"NGC005674",7471,227,11,2,"tmc2006","Nanc",7476,253,236,227,20,7.1,4.08,11.1,2,7.4
52044,"UGC09375",9417,467,20,1,"shg2005","AOlf",9417,495,476,467,20,1.9,1.1,8.8,1,1.3
52057,"NGC005612",2762,447,20,1,"ctk2010","PAKS",2762,467,456,447,20,12.5,15,0.8,16,15.5
52059,"PGC052059",,,,,"archi12","GBT",6854,170,153,,26,6.8,1.83,3.3,8,4
52061,"AGC240473",9300,248,20,1,"shg2005","AOlf",9300,269,257,248,20,3.4,1.61,8.8,1,3.1
52069,"UGC09374",9304,524,18,1,"shg2005","AOlf",9304,554,533,524,18,4,1.5,8.8,1,1.3
52072,"UGC09378",4843,221,19,1,"shg2005","AOlf",4843,238,230,221,19,3.3,2.65,8.6,1,5.7
52090,"AGC030724",3776,302,12,2,"shg2005","GB140",3775,315,309,300,17,5,19.74,4.2,1,30.7
52091,"UGC09391",1911,108,8,1,"ctf2009","GBT",1911,119,115,108,8,20.3,6.12,1.6,4,24.7
52092,"AGC009380",1683,89,8,1,"hgm2011","ALFA",1683,97,94,89,8,23.8,7.77,5.2,1,38
52100,"AGC240483",7606,324,18,1,"hgm2011","ALFA",7606,344,333,324,18,4.1,2.84,5.3,1,4.1
52103,"AGC030729",6820,268,13,2,"shg2005","Nanc",6820,283,274,265,18,4.2,6.1,5.5,1,6.8
52104,"AGC240484",10306,317,19,1,"shg2005","AOlf",10306,342,326,317,19,2.7,0.94,8.8,1,1.4
52107,"UGC09388",2276,216,18,1,"shg2005","GB300",2276,232,225,216,18,4.8,4.63,11.2,1,9.9
52109,"AGC241590",9896,370,19,1,"hgm2011","ALFA",9896,394,379,370,19,3.1,2.68,5.5,1,3.3
52121,"AGC540111",6773,424,18,1,"shg2005","Nanc",6773,446,433,424,18,3.7,6.31,5.5,1,6.9
52125,"ES222-010",623,44,14,1,"ksk2004","PAKS",623,53,46,44,14,8.3,7.22,13.2,1,47.8
52130,"AGC009383",7491,137,14,1,"hgm2011","ALFA",7491,151,145,137,14,8.8,3.42,5.3,1,10.3
52139,"AGC240493",8134,259,19,1,"shg2005","AOlf",8134,280,268,259,19,2.3,1.21,8.7,1,2.2
52141,"UGC09385",1637,83,11,1,"shg2005","AOlf",1637,89,87,83,11,13.6,6.84,2.1,1,34.8
52151,"AGC241205",6094,223,20,1,"shg2005","AOlf",6094,245,232,223,20,3.1,0.81,8.5,2,1.7
52159,"UGC09389",1830,222,7,2,"ctf2009","AOG",1827,232,229,220,8,57.8,20.71,0.7,4,44.2
52167,"UGC09394",1801,169,8,1,"shg2005","AOlf",1801,183,178,169,8,74.3,14.28,8.3,1,37.1
52169,"UGC09393",7942,286,18,1,"shg2005","AOlf",7942,307,295,286,18,4.3,3.18,8.7,1,4.9
52171,"AGC009396",10321,223,18,1,"hgm2011","ALFA",10321,243,232,223,18,3.7,2.3,5.5,1,4.3
52175,"AGC241594",11112,242,16,1,"hgm2011","ALFA",11112,266,251,242,16,6.3,4.09,5.5,2,7.7
52190,"UGC09401",5638,500,19,1,"shg2005","AOlf",5638,523,509,500,19,2.7,2.55,8.7,1,2.2
52191,"AGC240506",9300,147,16,1,"shg2005","AOlf",9300,165,156,147,16,5.8,2.55,8.7,1,7
52193,"AGC240512",1909,119,14,1,"shg2005","AOlf",1909,128,126,119,14,9.1,4.08,2.1,1,15.4
52205,"AGC240517",16517,257,18,1,"shg2005","AOlf",16517,286,266,257,18,4.2,2.01,9.2,1,3.5
52211,"AGC240519",8586,294,20,1,"shg2005","AOlf",8586,316,303,294,20,1.9,0.66,8.7,1,1
52212,"AGC240523",1795,81,18,1,"hgm2011","ALFA",1795,89,86,81,18,3.5,1.26,5.2,1,5
52217,"UGC009409",5313,352,17,1,"archi12","GBT",5313,374,361,352,17,5.3,4.23,3.2,4,3.1
52222,"PG0052222",,,,,"tmc2006","Nanc",10585,48,41,,28,1.7,0.58,10.7,1,4.3
52235,"UGC09415",5470,339,12,2,"shg2005","Effs",5468,353,345,336,18,5.1,9.78,2.7,1,11.6
52239,"AGC240532",4355,294,19,1,"shg2005","AOlf",4355,312,303,294,19,2.7,2.34,8.5,1,3.8
52247,"UGC09422",3312,298,12,2,"shg2005","GB300",3311,316,307,298,17,5.5,5.88,11.2,1,7.8
52248,"UGC09410",,,,,"shg2005","AOlf",8437,325,312,,25,2.8,3.1,8.8,1,4.7
52251,"NGC05698",3676,295,11,2,"ctf2009","GBT",3676,314,307,298,13,9.6,4.86,1.6,4,7.6
52254,"UGC09411",9222,271,19,1,"shg2005","AOlf",9222,293,280,271,19,3,3.23,8.9,1,5.1
52258,"UGC09414",5831,312,9,1,"shg2005","AOlf",5831,332,321,312,9,15.3,5.29,8.6,1,8
52264,"UGC09418",9842,116,18,1,"shg2005","AOlf",9842,132,123,116,18,4.6,0.95,8.8,1,3.3
52266,"NGC05707",2215,405,8,1,"ctf2009","GBT",2215,420,414,405,8,19.1,12.89,1.6,4,14.9
52273,"UGC09416",1749,293,8,1,"shg2005","AOlf",1749,308,302,293,8,94.4,24.13,8.3,1,37.8
52279,"UGC09424",5450,232,18,1,"shg2005","AOlf",5450,250,241,232,18,4,2.82,8.7,1,5.5
52280,"AGC241604",7549,220,19,1,"hgm2011","ALFA",7549,237,229,220,19,3,1.69,5.3,1,3.2
52291,"NGC005691",,,,,"tmc2006","Nanc",1859,189,182,,100,7.1,8.93,10.7,1,19.3
52293,"AGC240548",,,,,"shg2005","AOlf",,,,,500,10,2.26,9.1,4,2.8
52307,"UGC09431",2240,333,18,1,"shg2005","GB140",2240,346,342,333,18,4.9,22.27,2.1,1,31.4
52308,"AGC240556",8663,237,19,1,"shg2005","AOlf",8663,258,246,237,19,2.6,1.19,8.7,1,2.2
52315,"NGC05708",2723,236,11,2,"ctf2009","GBT",2724,251,246,237,14,8.5,5.08,1.6,4,10
52324,"IC004468",2455,269,8,1,"ctf2009","GBT",2455,283,278,269,8,34.7,15.35,1.6,4,26.7
52328,"UGC09439",7784,409,17,1,"shg2005","GB300",7784,435,418,409,17,5.2,11.1,11.6,1,11.9
52333,"AGC240558",9479,322,16,1,"shg2005","AOlf",9479,346,331,322,16,6.4,3.84,8.8,1,5.4
52338,"UGC09433",13611,175,8,1,"shg2005","AOlf",13611,197,184,175,8,43.8,3.15,9,1,3.8
52339,"PG0052339",5523,199,20,1,"ctm2010","GBT",5523,218,208,199,20,4.3,0.99,1.6,8,2.4
52344,"UGC009448",2195,246,16,1,"ctm2010","GBT",2195,260,255,246,16,6.7,4.85,1.6,4,9
52345,"PG0052345",1818,81,15,1,"ksk2004","PAKS",1818,93,86,81,15,8,13.29,13.4,1,58.8
52350,"AGC240564",10257,273,17,1,"shg2005","AOlf",10257,296,282,273,17,5.2,1.12,8.8,1,1.9
52352,"AGC248974",11216,311,19,1,"hgm2011","ALFA",11216,335,320,311,19,2.9,2.22,5.5,1,3.4
52361,"UGC09437",14401,404,16,1,"shg2005","AOlf",14401,438,413,404,16,7.4,2.76,9,1,3.2
52365,"UGC09436",1506,116,6,2,"shg2005","GB140",1506,123,122,115,8,23.2,62.09,1,1,242.8
52368,"ES327-004",5618,152,20,1,"tmc2006","Nanc",5618,174,160,152,20,4.5,2.3,10.9,2,6.5
52376,"UGC09445",9044,399,15,1,"shg2005","AOlf",9044,425,408,399,15,8.1,1.98,8.7,1,2.3
52380,"UGC09443",9663,501,20,1,"shg2005","AOlf",9663,531,510,501,20,2.2,5.99,8.9,1,5.7
52381,"NGC005688",2798,438,13,1,"ksk2004","PAKS",2798,458,447,438,13,12.1,56.85,13.4,1,60.6
52383,"UGC09449",4484,236,19,1,"shg2005","AOlf",4484,253,245,236,19,3.5,2.87,8.7,1,5.5
52390,"UGC09450",4470,185,16,1,"shg2005","AOlf",4470,201,194,185,16,6.9,3.3,8.6,1,6.3
52395,"UGC09447",1759,173,7,2,"shg2005","AOlf",1759,183,178,169,8,35.8,17.1,8.3,1,43.3
52396,"UGC09456",2534,257,10,1,"shg2005","GB300",2534,274,266,257,10,14.5,19.14,11.2,1,34.7
52403,"AGC240576",8539,161,18,1,"shg2005","AOlf",8539,179,170,161,18,4.1,1.7,8.7,1,4.7
52405,"AGC030765",2504,134,19,1,"shg2005","GB140",2504,151,141,134,19,2.4,4.59,16.9,1,16.2
52407,"AGC726765",9633,298,19,1,"hgm2011","ALFA",9633,320,307,298,19,2.7,1.99,5.5,1,3.1
52411,"E512-012",3423,475,17,1,"ctm2010","GBT",3423,493,484,475,17,4.9,8.78,1.6,4,8.8
52412,"NGC005713",1899,175,13,1,"ksk2004","PAKS",1899,192,184,175,13,19.6,48.79,13.4,1,106.4
52417,"UGC09455",8978,443,19,1,"shg2005","AOlf",8978,470,452,443,19,3.3,3.25,8.8,1,3.4
52419,"AGC240585",13756,355,18,1,"shg2005","AOlf",13756,385,364,355,18,3.3,1.03,9,1,1.4
52421,"UGC09454",7174,173,19,1,"shg2005","AOlf",7174,191,182,173,19,3.7,2.99,8.8,1,6.5
52427,"ES386-004",,,,,"tmc2006","Nanc",4103,456,439,,100,2.9,2.96,10.8,2,3
52437,"AGC240584",8826,102,15,1,"shg2005","AOlf",8826,116,108,102,15,8,1.83,8.7,1,6.8
52444,"AGC241625",9076,360,16,1,"hgm2011","ALFA",9076,383,369,360,16,6.8,7.49,5.5,1,9.7
52446,"AGC030772",4538,282,12,2,"shg2005","Nanc",4533,293,283,274,17,5.7,4.88,5.4,2,7.4
52449,"AGC241180",9105,405,18,1,"shg2005","AOlf",9105,431,414,405,18,3.7,2.21,8.8,1,2.6
52455,"UGC09462",1741,375,10,2,"shg2005","GB300",1731,389,381,372,14,9.6,35.12,11.1,1,45.6
52458,"NGC005716",4154,174,10,1,"tmc2006","Nanc",4154,191,183,174,10,14,10.71,10.6,1,25.9
52460,"PG0052460",1877,173,20,1,"tmc2006","Nanc",,,,,500,0,0.93,10.7,1,-6.2
52462,"AGC030777",,,,,"shg2005","GB140",3415,97,87,,25,3.5,4.8,16.9,1,25.4
52465,"UGC09468",,,,,"shg2005","AOlf",16679,587,552,,25,2.7,1.82,9.1,1,1.5
52473,"ES386-007",4346,276,15,1,"ctm2010","GBT",4346,296,285,276,15,7.1,2.82,1.6,8,5
52476,"UGC09476",3274,222,16,1,"shg2005","Effs",3274,235,231,222,16,7,8.56,2.6,1,10.6
52484,"ES386-009",4576,288,20,1,"tmc2006","Nanc",4576,313,297,288,20,6.9,2.71,10.9,2,4.4
52486,"AGC240602",9098,154,15,1,"shg2005","AOlf",9098,172,163,154,15,7.3,1.12,8.8,1,3.1
52488,"AGC009471",4599,230,14,1,"hgm2011","ALFA",4599,245,239,230,14,9.2,5.15,5.3,1,10.6
52497,"ES272-024",4830,279,11,1,"archi12","PAKS",4830,296,288,279,11,12.1,12,1.7,4,19.1
52499,"UGC09474",10203,124,17,1,"shg2005","AOlf",10203,140,131,124,17,5.9,3.26,8.9,1,8.7
52504,"UGC09475",8619,333,19,1,"shg2005","AOlf",8619,356,342,333,19,2.6,2.5,8.8,1,3.1
52506,"AGC240604",8436,228,19,1,"shg2005","AOlf",8436,248,237,228,19,2.6,0.89,8.7,1,1.8
52507,"NGC005729",1818,274,8,2,"tmc2006","Nanc",1819,290,283,274,10,23.6,33.5,10.7,1,57.5
52511,"AGC240603",8455,284,20,1,"shg2005","AOlf",8455,306,293,284,20,2.4,1.99,8.7,1,3.4
52514,"ES580-009",4214,209,17,1,"tmc2006","Nanc",4214,226,218,209,17,5.5,6.33,10.6,1,14.3
52515,"AGC240606",,,,,"shg2005","AOlf",9366,407,386,,100,5.7,2.87,8.8,2,3.5
52519,"AGC240609",9361,368,19,1,"hgm2011","ALFA",9361,392,377,368,19,2.6,2.84,5.5,1,3.6
52520,"UGC009484",,,,,"ctm2010","GBT",5249,245,234,,25,2.6,1.6,1.6,8,3.4
52521,"AGC540121",2784,393,19,1,"shg2005","GB140",2784,410,402,393,19,2.6,10.25,4.2,2,12.4
52532,"AGC009479",8167,364,18,1,"hgm2011","ALFA",8167,386,373,364,18,3.8,4.17,5.5,1,5.3
52546,"AGC240615",10325,241,19,1,"shg2005","AOlf",10325,263,250,241,19,2.4,0.81,8.8,1,1.6
52552,"AGC030800",3300,162,13,2,"shg2005","Nanc",3300,169,164,156,18,4.5,2.97,5.4,1,5.9
52558,"UGC009482",1803,164,14,1,"ctm2010","GBT",1803,177,173,164,14,9.1,4.93,1.6,4,14
52564,"AGC009483",1634,304,8,1,"hgm2011","ALFA",1634,317,313,304,8,21.1,17.62,5.2,1,27.3
52565,"UGC09487",12531,498,19,1,"shg2005","AOlf",12531,533,507,498,19,2.8,1.38,8.9,1,1.4
52567,"AGC009489",9330,289,17,1,"hgm2011","ALFA",9330,310,298,289,17,5.1,3.58,5.5,1,5.8
52574,"AGC009485",1698,157,10,1,"hgm2011","ALFA",1698,169,165,157,10,14,6.92,5.2,1,20.2
52582,"UGC09488",9537,355,20,1,"shg2005","AOlf",9537,380,364,355,20,2.4,2.35,8.9,1,3
52595,"ES512-017",,,,,"tmc2006","Nanc",4351,275,260,,40,3.1,1.98,10.9,2,3.5
52600,"ES512-019",,,,,"tmc2006","Nanc",3812,231,223,,100,2.7,0.83,10.8,1,1.9
52602,"UGC09490",10932,432,19,1,"shg2005","AOlf",10932,462,441,432,19,3.4,5.26,8.8,1,5.6
52605,"AGC240627",5272,310,14,1,"shg2005","AOlf",5272,329,319,310,14,9.5,10.69,8.6,1,15.5
52607,"NGC005751",3282,223,17,1,"tmc2006","Nanc",3282,240,232,223,17,5.6,2.44,10.8,1,4.9
52613,"AGC240629",9293,105,19,1,"hgm2011","ALFA",9293,118,112,105,19,2.9,1.13,5.5,1,3.3
52620,"ES386-016",7285,363,20,1,"tmc2006","Nanc",7285,392,372,363,20,2.8,2.54,11.1,2,3.5
52628,"UGC09491",7688,348,10,1,"shg2005","AOlf",7688,371,357,348,10,13.9,3.78,8.6,1,4.9
52632,"UGC09494",9171,453,18,1,"shg2005","AOlf",9171,481,462,453,18,4.3,3.61,8.9,1,3.2
52635,"AGC240641",5261,349,18,1,"shg2005","AOlf",5261,369,358,349,18,3.4,3.48,8.6,1,4.7
52638,"UGC09496",,,,,"shg2005","AOlf",8885,145,136,,25,3.7,1.35,8.7,1,3.5
52643,"ES447-034",,,,,"tmc2006","Nanc",4580,154,146,,100,2.8,1.46,10.9,1,4.3
52663,"UGC09502",5617,214,12,2,"ctf2009","GBT",5615,248,240,231,16,5.8,1.51,1.6,4,3
52665,"NGC5746",1723,634,11,2,"shg2005","GB140",1725,649,643,634,19,2.8,36.87,4.2,1,27.8
52669,"NGC005745",,,,,"tmc2006","Nanc",7064,569,550,,100,1.6,2.29,11.1,1,2.2
52678,"NGC005734",,,,,"tmc2006","Nanc",4121,551,538,,100,8.8,13.14,10.8,1,11.8
52680,"NGC005743",,,,,"tmc2006","Nanc",4091,496,484,,100,11.2,14.9,10.9,1,13.5
52684,"AGC248952",10046,286,19,1,"hgm2011","ALFA",10046,308,295,286,19,2.8,1.78,5.5,1,2.9
52686,"UGC09505",4407,231,16,1,"shg2005","GB300",4407,249,240,231,16,7.3,5.84,11.3,1,11.5
52689,"AGC009500",1690,29,8,1,"hgm2011","ALFA",1690,34,31,29,8,63,9.19,5.2,1,102.6
52696,"ES580-018",2357,184,15,1,"ksk2004","PAKS",2357,201,193,184,15,8.2,21.84,13.4,1,51.8
52698,"UGC09503",,,,,"shg2005","AOlf",9394,240,228,,25,4.7,1.63,8.8,1,3
52703,"AGC244926",8460,228,19,1,"hgm2011","ALFA",8460,246,236,228,19,2.6,1.54,5.5,1,3
52707,"NGC005742",,,,,"tmc2006","Nanc",3990,354,344,,100,1.7,1.54,10.8,1,2
52710,"ES580-019",6149,190,17,1,"ctm2010","GBT",6149,229,199,190,17,4.8,1.08,1.6,32,2.8
52712,"UGC09510",8493,423,19,1,"shg2005","AOlf",8493,449,432,423,19,2.6,3.46,8.8,1,3.7
52713,"IC0001056",4025,218,15,1,"tmc2006","Nanc",4025,235,226,218,15,8,10.06,10.8,1,21.3
52714,"AGC030831",2356,191,16,1,"shg2005","GB140",2356,210,200,191,16,7.7,22.99,16.9,1,52.6
52720,"AGC240670",9206,337,16,1,"shg2005","AOlf",9206,361,346,337,16,6.7,1.4,8.8,1,1.9
52723,"AGC241660",,,,,"shg2005","AOlf",10752,255,242,,30,2.1,1.47,8.8,1,2.7
52724,"AGC240665",9144,238,17,1,"shg2005","AOlf",9144,259,247,238,17,5,1,8.8,1,1.9
52728,"AGC009509",10562,434,19,1,"hgm2011","ALFA",10562,461,443,434,19,3.2,4.15,5.5,1,4.4
52730,"AGC030834",2224,145,14,1,"shg2005","GB300",2224,157,153,145,14,9.1,12.8,5.6,1,38.2
52731,"UGC09513",,,,,"shg2005","AOlf",13907,242,227,,30,4.2,0.83,9,1,1.1
52742,"UGC09515",14022,351,19,1,"shg2005","AOlf",14022,382,360,351,19,3.5,4.32,9,1,3.4
