"# W/ DUPLICATIONS","#","HIPASS_NAME","OBS_RUN_NIGHT","OBS_DATE","NAME","OBSERVATION COMMENTS","NOD&SHUFFLE","RA","DEC","USED/OR NOT","COMMENT_ON_PPXF","MORPHOLOGICAL_TYPE (BASIC DATA)","MORPHOLOGY_SHORTENED","REDSHIFT","REDSHIFT UNCERTAINTY","MAJOR_AXIS","MINOR_AXIS","BASIC_MAGNITUDE","MAJOR_DIAMETER (ESO Uppsala)","MINOR/MAJOR RATIO (ESO Uppsala)","POSITION ANGLE (ESO Uppsala)","MAJOR_DIAMETER (RC3)","MAJOR_DIAMETER_UNC (RC3)","MINOR/MAJOR RATIO (RC3)","MINOR/MAJOR RATIO UNC (RC3)","POSITION ANGLE (RC3)","HIPASS_RV50max","HIPASS_RV50min","HIPASS_RV20max ","HIPASS_RV20min ","HIPASS_Rvmom ","HIPASS_Rvsp","HIPASS_RVGSR ","HIPASS_RVLG ","HIPASS_RVCMB ","HIPASS_RV1 ","HIPASS_RV2 ","HIPASS_RVsp1 ","HIPASS_RVsp2 ","HIPASS_RVmask","HIPASS_W50max ","HIPASS_W50min ","HIPASS_W20max ","HIPASS_W20min ","HIPASS_Speak","HIPASS_Sint","HIPASS_RMS","HIPASS_RMSclip","HIPASS_RMScube","HIPASS_cube","HIPASS_Sigma","HIPASS_Boxsize","HIPASS_Qual","HIPASS_nb","HIPASS_cf","HIPASS_ext","RC3_PGC","RC3_D25","RC3_e_D25","RC3_R25","RC3_e_R25","RC3_Ae","RC3_e_Ae","A_e in arcsec","RC3_PA","RC3_BT","RC3_BT_code","RC3_e_BT","RC3_Bmag","RC3_e_Bmag","RC3_BoT","RC3_Ai","RC3_Ag","RC3_W50","RC3_e_W50","RC3_cz","2MASX_ID","2MASX_K_b/a","2MASX_K_PA","2MASX_K_mag","2MASX_K_mag_sigma","2MASX_K_mag_chi2","2MRS_E(B-V)","ABSOLUTE_MAGNITUDE_B","ABSOLUTE_MAGNITUDE_K","cos^2(i)","sini","INCLINATION_FROM_R25","HIPASS_W50max_z","HIPASS_W50max_zs","HIPASS_W50max_zst","HIPASS_W50max_zsti","BILBI_CENTRAL_VELOCITY_DISPERSION","BILBI_ERR_VELOCITY_DISP","BILBI_ROTATIONAL_VELOCITY","BILBI_ERR_ROTATIONAL_VELOCITY","BILBI_POSITION_ANGLE","BILBI_STD_DEV_POS_ANG","BILBI_COMMENT_POS_ANG","BILBI_Wmax_z","BILBI_Wmax_zs","BILBI_Wmax_zst","BILBI_Wmax_zsti","IN_THE_TABLE_OR_NOT"
51,44,"HIPASSJ0833-22","run4/night1","15.03.2013","NGC_2613",,0,"08h33m22.8s ","-22d58m25s","used",,"SA(s)b         HII  ","Sb",0.005591,0.00001,7.2,1.8,11.16,457.09,0.244,113,434.7,10.1,0.245,0.012,113,1676.1,1455.2,1676.9,1676.9,1676,1398.1,1465.9,1397.2,1954.6,1304.2,2050.5,200.1,2521,"1304.2;2050.5",605.9,164,630.3,630.3,0.1741,55.9,0.0096,0.0078,0.013,206,198,28,1,0,0,0,23997,1.86,0.01,0.61,0.02,1.35,0.02,134.3232683141,113,11.16," ",0.13,11.16,0.15,9.93,0.85,0.37,599,6,1619,"08332284-2258252",0.26,-67,6.825,0.021," ",0.089,-22.2765301471,-25.651694537,0.046525932,0.9764599674,77.5434778969,602.5312477936,599.0992477936,599.1201120868,613.5634148633,167.9640566453,2.5397424412,268.37587511,,31.1528543257,4.9684075975,"could be better?",266.8837281857,263.4517281857,263.4942419066,269.8464357972,0
52,45,"HIPASSJ0840-04","run4/night4","18.03.2013","NGC_2642","moon in the west",0,"08h40m44.4s ","-04d07m18s","used?","few pixels to work","SB(r)bc        HII  ","Sbc",0.014494,0.000028,2,1.9,13.35,"                    ","                    ","                    ",122.5,5.8,0.933,0.067,"                    ",4345.3,4381.2,4339.5,4339.5,4347,4383.2,4179.4,4124.9,4640.2,4242.7,4435.5,2887.4,5902.1,"4242.7;4435.5",127.7,55.8,155,155,0.0542,5,0.0068,0.0061,0.0122,355,158,28,1,0,0,0,24395,1.31,0.02,0.03,0.03,0.94,0.03,52.2578153974," ",13.35," ",0.15,12.49,0.28,13.02,0.04,0.07,116,25,4406,"08404435-0407182",0.36,-65,9.529,0.051,2.391,0.022,-21.692793007,-24.7330169296,0.8690783177,0.3618310134,21.2126874802,125.8755596386,122.4435596386,121.3789306206,335.4575095019,108.10089316,2.9144075873,"None",,"None","None","didnn't even try; so few pixels to work","None","None","None","None",1
53,45,"HIPASSJ0840-04","run4/night4","18.03.2013","NGC_2642","moon in the west",0,"08h40m44.4s ","-04d07m18s","used?","few pixels to work","SB(r)bc        HII  ","Sbc",0.014494,0.000028,2,1.9,13.35,"                    ","                    ","                    ",122.5,5.8,0.933,0.067,"                    ",4345.3,4381.2,4339.5,4339.5,4347,4383.2,4179.4,4124.9,4640.2,4242.7,4435.5,2887.4,5902.1,"4242.7;4435.5",127.7,55.8,155,155,0.0542,5,0.0068,0.0061,0.0122,355,158,28,1,0,0,0,24395,1.31,0.02,0.03,0.03,0.94,0.03,52.2578153974," ",13.35," ",0.15,12.49,0.28,13.02,0.04,0.07,116,25,4406,"08404435-0407182",0.36,-65,9.529,0.051,2.391,0.022,-21.692793007,-24.7330169296,0.8690783177,0.3618310134,21.2126874802,125.8755596386,122.4435596386,121.3789306206,335.4575095019,109.4244109146,2.5348598811,"None",,"None","None","didnn't even try; so few pixels to work","None","None","None","None",0
54,46,"HIPASSJ0911-14","run4/night2","16.03.2013","NGC_2781","seeing was mostly poor in night2&4",0,"09h11m27.5s ","-14d49m01s","used",,"SAB(r)0+            ","S0",0.006848,0.000023,3,1.5,12.53,"                    ","                    ","                    ",181.2,8.5,0.501,0.036,85,2053,2046.6,2042,1988.7,2037,2078.7,1842.3,1772.6,2356.2,1821.3,2243,370.4,3430.9,"1821.3;2243.0",308.7,106.8,360.8,254.1,0.0738,14.5,0.008,0.0066,0.0122,255,158,28,1,0,1,0,25907,1.48,0.02,0.3,0.03,0.68,0.05,28.7178055394,85,12.53," ",0.15,12.21,0.19,12.24,0,0.14,365,5,2007,"09112750-1448597",0.48,85,8.5,0.018,9.9,0.06,-20.5493176415,-24.2546575449,0.2402482175,0.8716374146,60.6494787557,306.6004004577,303.1684004577,303.2091108187,347.8615141371,135.4903813942,1.6659921511,296.282397431,,163.661611279,3.3434867719,,294.2672552669,290.8352552669,290.8771532424,333.7134780733,1
55,46,"HIPASSJ0911-14","run4/night2","16.03.2013","NGC_2781","seeing was mostly poor in night2&4",0,"09h11m27.5s ","-14d49m01s","used",,"SAB(r)0+            ","S0",0.006848,0.000023,3,1.5,12.53,"                    ","                    ","                    ",181.2,8.5,0.501,0.036,85,2053,2046.6,2042,1988.7,2037,2078.7,1842.3,1772.6,2356.2,1821.3,2243,370.4,3430.9,"1821.3;2243.0",308.7,106.8,360.8,254.1,0.0738,14.5,0.008,0.0066,0.0122,255,158,28,1,0,1,0,25907,1.48,0.02,0.3,0.03,0.68,0.05,28.7178055394,85,12.53," ",0.15,12.21,0.19,12.24,0,0.14,365,5,2007,"09112750-1448597",0.48,85,8.5,0.018,9.9,0.06,-20.5493176415,-24.2546575449,0.2402482175,0.8716374146,60.6494787557,306.6004004577,303.1684004577,303.2091108187,347.8615141371,138.3778083671,1.7071287272,296.903439358,,166.10261282,3.6153655532,,294.8840732246,291.4520732246,291.4939183452,334.4210717268,0
56,47,"HIPASSJ0917-22","run4/night2","16.03.2013","NGC_2835","Bad weather cond (somewhere was burning; there were smoke) (in night 2&3)",0,"09h17m52.9s ","-22d21m17s","not used",,"SAB(rs)c       HII  ","Sc",0.002955,0.000007,6.6,4.4,11.01,380.19,0.722,8,396.4,9.2,0.661,0.031,8,885.5,885.5,885.9,885.9,885.2,813.4,676.2,600.3,1201.6,717.6,1053.3,200.1,3030.3,"717.6;1053.3",193.8,193.8,219.9,219.9,0.8581,129.2,0.0113,0.0099,0.013,207,198,36,1,0,0,1,26259,1.82,0.01,0.18,0.02,1.44,0.03,165.2537222003,8,11.01," ",0.17,11.06,0.21,10.31,0.27,0.44,192,6,876,"09175290-2221168",0.87,-22,7.917,0.049," ",0.1,-20.8162991899,-23.3141166472,0.428283109,0.7561196274,49.1232967387,193.2290082805,189.7970082805,189.7229567793,250.9165876613,"None","None","None",,"None","None",,"None","None","None","None",1
57,47,"HIPASSJ0917-22","run4/night2","16.03.2013","NGC_2835","Bad weather cond (somewhere was burning; there were smoke) (in night 2&3)",0,"09h17m52.9s ","-22d21m17s","not used",,"SAB(rs)c       HII  ","Sc",0.002955,0.000007,6.6,4.4,11.01,380.19,0.722,8,396.4,9.2,0.661,0.031,8,885.5,885.5,885.9,885.9,885.2,813.4,676.2,600.3,1201.6,717.6,1053.3,200.1,3030.3,"717.6;1053.3",193.8,193.8,219.9,219.9,0.8581,129.2,0.0113,0.0099,0.013,207,198,36,1,0,0,1,26259,1.82,0.01,0.18,0.02,1.44,0.03,165.2537222003,8,11.01," ",0.17,11.06,0.21,10.31,0.27,0.44,192,6,876,"09175290-2221168",0.87,-22,7.917,0.049," ",0.1,-20.8162991899,-23.3141166472,0.428283109,0.7561196274,49.1232967387,193.2290082805,189.7970082805,189.7229567793,250.9165876613,"None","None","None",,"None","None",,"None","None","None","None",0
58,48,"HIPASSJ0926-11","run4/night4","18.03.2013","NGC_2884","really cloudy",0,"09h26m24.4s ","-11d33m20s","used?","few pixels to work","S0/a?               ","S0a",0.017304,0.000031,2,1.1,13.91,"                    ","                    ","                    ",122.5,11.8,0.525,0.051,"                    ",5187.7,5149.1,5195.9,5195.9,5188.8,5145.6,5002.9,4933.5,5520.9,5078.6,5330,3663.4,6711.4,"5078.6;5330.0",149,71.7,187.6,187.6,0.0485,5.4,0.0075,0.0059,0.0122,305,158,28,1,0,0,0,26773,1.31,0.04,0.28,0.04," "," ",," "," "," "," "," "," "," ",0.21,0.17," "," "," ","09262451-1133207",0.48,-5,9.486,0.03,6.756,0.043,"None",-25.1022570007,0.2648365162,0.8574167504,59.0277614025,146.4655599506,143.0335599506,142.4508258971,166.1395416335,229.465400849,4.8334113071,"None",,"None","None","didnn't even try; so few pixels to work","None","None","None","None",1
59,48,"HIPASSJ0926-11","run4/night4","18.03.2013","NGC_2884","really cloudy",0,"09h26m24.4s ","-11d33m20s","used?","few pixels to work","S0/a?               ","S0a",0.017304,0.000031,2,1.1,13.91,"                    ","                    ","                    ",122.5,11.8,0.525,0.051,"                    ",5187.7,5149.1,5195.9,5195.9,5188.8,5145.6,5002.9,4933.5,5520.9,5078.6,5330,3663.4,6711.4,"5078.6;5330.0",149,71.7,187.6,187.6,0.0485,5.4,0.0075,0.0059,0.0122,305,158,28,1,0,0,0,26773,1.31,0.04,0.28,0.04," "," ",," "," "," "," "," "," "," ",0.21,0.17," "," "," ","09262451-1133207",0.48,-5,9.486,0.03,6.756,0.043,"None",-25.1022570007,0.2648365162,0.8574167504,59.0277614025,146.4655599506,143.0335599506,142.4508258971,166.1395416335,221.7416589715,5.2889777557,"None",,"None","None","didnn't even try; so few pixels to work","None","None","None","None",0
60,49,"HIPASSJ0954-25","run4/night1","15.03.2013","NGC_3054",,0,"09h54m28.6s ","-25d42m12s","used?","few pixels to work","SAB(r)bc       HII? ","Sbc",0.008091,0.000023,3.8,2.3," 11.6B",204.17,0.64,118,228.1,10.8,0.617,0.029,118,2425.7,2580.7,2422.6,2422.6,2434.6,2587.8,2224.1,2141.6,2767.3,2179.2,2653.8,818.8,3714.9,"2179.2;2653.8",380.8,70.8,411.8,411.8,0.0731,14.2,0.0069,0.0058,0.0122,208,198,28,1,0,0,0,28571,1.58,0.02,0.21,0.02," "," ",,118," ","*"," ",12.6,0.16,12.02,0.28,0.28,393,25,2194,"09542860-2542123",0.44,-60,8.343,0.029,6.426,0.075,-20.925587557,-24.798213256,0.3711337219,0.7930108941,52.4677812397,377.7436759181,374.3116759181,374.3450648918,472.055387511,127.7820781661,2.1816798606,104.577277031,,27.3374045412,7.7864901901,,103.7379334118,100.3059334118,98.4949142354,124.2037341154,1
61,49,"HIPASSJ0954-25","run4/night1","15.03.2013","NGC_3054",,0,"09h54m28.6s ","-25d42m12s","used?","few pixels to work","SAB(r)bc       HII? ","Sbc",0.008091,0.000023,3.8,2.3," 11.6B",204.17,0.64,118,228.1,10.8,0.617,0.029,118,2425.7,2580.7,2422.6,2422.6,2434.6,2587.8,2224.1,2141.6,2767.3,2179.2,2653.8,818.8,3714.9,"2179.2;2653.8",380.8,70.8,411.8,411.8,0.0731,14.2,0.0069,0.0058,0.0122,208,198,28,1,0,0,0,28571,1.58,0.02,0.21,0.02," "," ",,118," ","*"," ",12.6,0.16,12.02,0.28,0.28,393,25,2194,"09542860-2542123",0.44,-60,8.343,0.029,6.426,0.075,-20.925587557,-24.798213256,0.3711337219,0.7930108941,52.4677812397,377.7436759181,374.3116759181,374.3450648918,472.055387511,124.465782659,2.1263399964,103.0150256,,23.2914697333,7.9917321261,,102.1882207063,98.7562207063,96.8841566812,122.1725419008,0
62,50,"HIPASSJ0954-28","run4/night3","17.03.2013","NGC_3056","Bad weather cond",0,"09h54m32.9s ","-28d17m53s","used","there are two cores in the vel_disp map","SA(rl)0^0           ","S0",0.003246,0.00001,1.8,1.1,12.57,128.82,0.643,18,109.2,10.5,0.631,0.045,16,972.6,1036.3,971.9,971.9,976.2,1065.6,761.8,678.1,1303.5,776.4,1162.6,200.1,2521,"776.4;1162.6",241.7,114.3,266.6,266.6,0.2702,45.4,0.0067,0.0059,0.0122,208,198,28,1,0,0,0,28576,1.26,0.04,0.2,0.03,0.75,0.03,33.7404795114,16,12.57," ",0.14,12.61,0.21,12.39,0,0.18," "," ",1017,"09543290-2817533",0.66,15,8.638,0.023,9.9,0.089,-18.9123652275,-22.7941747029,0.3893132818,0.7814644702,51.3948571643,240.9179802362,237.4859802362,237.5204733247,303.9427669223,81.9068766406,0.9366690697,"None",,"None","None","didn't work; couldn't plot rot_vel","None","None","None","None",1
63,50,"HIPASSJ0954-28","run4/night3","17.03.2013","NGC_3056","Bad weather cond",0,"09h54m32.9s ","-28d17m53s","used","there are two cores in the vel_disp map","SA(rl)0^0           ","S0",0.003246,0.00001,1.8,1.1,12.57,128.82,0.643,18,109.2,10.5,0.631,0.045,16,972.6,1036.3,971.9,971.9,976.2,1065.6,761.8,678.1,1303.5,776.4,1162.6,200.1,2521,"776.4;1162.6",241.7,114.3,266.6,266.6,0.2702,45.4,0.0067,0.0059,0.0122,208,198,28,1,0,0,0,28576,1.26,0.04,0.2,0.03,0.75,0.03,33.7404795114,16,12.57," ",0.14,12.61,0.21,12.39,0,0.18," "," ",1017,"09543290-2817533",0.66,15,8.638,0.023,9.9,0.089,-18.9123652275,-22.7941747029,0.3893132818,0.7814644702,51.3948571643,240.9179802362,237.4859802362,237.5204733247,303.9427669223,82.3517327041,1.1032814381,"None",,"None","None","didn't work; couldn't plot rot_vel","None","None","None","None",0
64,51,"HIPASSJ1014-28","run1/night5","26.05.2012","NGC_3175","some cloud+some moon",1,"10h14m42.1s ","-28d52m19s","not used","low snr","SAB(s)b        HII  ","Sb",0.003673,0.000017,5,1.3,12.13,302,0.243,56,300.7,14.2,0.269,0.019,56,1094.8,1094.8,1062.5,1062.5,1081.1,1118.7,869.5,783.7,1415.4,813.7,1354.2,300.3,3439,"813.7;1354.2",290.2,290.2,402.1,402.1,0.0639,16.2,0.0071,0.006,0.0122,209,198,28,1,0,0,0,29892,1.7,0.02,0.57,0.03,1.14,0.02,82.8230558762,56,12.13,"M",0.1,11.99,0.14,11.23,0.58,0.26," "," ",1095,"10144211-2852194",0.32,56,7.786,0.024," ",0.074,-20.3702385896,-23.8848820092,0.0588916356,0.9701073984,75.9554666169,289.1379961402,285.7059961402,285.7482940071,294.5532571722,"None","None","None",,"None","None",,"None","None","None","None",1
65,52,"HIPASSJ1021-34","run4/night4","18.03.2013","NGC_3223",,0,"10h21m35.1s ","-34d16m01s","used?",,"SA(r)bc        HII  ","Sbc",0.009644,0.000022,4.1,2.5,11.79,239.88,0.652,135,244.4,11.5,0.603,0.043,135,2891.3,2719.3," "," ",2895.2,2708.6,2678.4,2590.4,3217.7,2670.6,3132.4,1265.2,4178.3,"2670.6;3132.4",405.3,61.2," "," ",0.0823,18.7,0.008,0.0066,0.013,165,158,28,1,0,0,0,30308,1.61,0.02,0.22,0.03,1.15,0.02,84.7522526774,135,11.79," ",0.14,11.8,0.16,10.96,0.31,0.5,402,7,2886,"10213507-3416004",0.72,-55,7.583,0.024,9.9,0.108,-22.2993480941,-25.8421598009,0.353772377,0.8038828416,53.502502668,401.4286223659,397.9966223659,398.02802776,495.1318863496,173.4729806522,2.6881922028,127.820475586,,31.8130289711,6.5788703215,"this is called NGC_3223_a",126.5995495303,123.1675495303,122.1232667068,151.9167475517,1
66,52,"HIPASSJ1021-34","run4/night4","18.03.2013","NGC_3223",,0,"10h21m35.1s ","-34d16m01s","used",,"SA(r)bc        HII  ","Sbc",0.009644,0.000022,4.1,2.5,11.79,239.88,0.652,135,244.4,11.5,0.603,0.043,135,2891.3,2719.3," "," ",2895.2,2708.6,2678.4,2590.4,3217.7,2670.6,3132.4,1265.2,4178.3,"2670.6;3132.4",405.3,61.2," "," ",0.0823,18.7,0.008,0.0066,0.013,165,158,28,1,0,0,0,30308,1.61,0.02,0.22,0.03,1.15,0.02,84.7522526774,135,11.79," ",0.14,11.8,0.16,10.96,0.31,0.5,402,7,2886,"10213507-3416004",0.72,-55,7.583,0.024,9.9,0.108,-22.2993480941,-25.8421598009,0.353772377,0.8038828416,53.502502668,401.4286223659,397.9966223659,398.02802776,495.1318863496,160.4804849021,3.3453208021,162.825572181,,33.479589598,5.2374222162,"this is called NGC_3223_b",161.2702815854,157.8382815854,157.489962634,195.9115862241,0
67,53,"HIPASSJ1048-25","run7/night2","30.05.2014","NGC_3393","So cloudy",1,"10h48m23.46s","-25d09m43.4s","not used","ppxf didn't fit","(R')SB(s)ab    Sy2  ","Sab",0.012509,0.000017,2.2,2,13.09,121.62,0.917,14,131.3,9.4,0.912,0.088,"                    ",3738.7,3738.7,3744,3744,3746.2,3800.4,3548.6,3462.2,4096.9,3598.3,3884.2,2250.4,5311.6,"3598.3;3884.2",177.1,177.1,243.1,243.1,0.085,13.5,0.0069,0.006,0.0122,210,158,28,1,0,0,0,32300,1.34,0.03,0.04,0.04," "," ",," "," "," "," ",13.09,0.21,12.64,0.04,0.36," "," ",3730,"10482346-2509433",0.72,-20,9.059,0.039,9.9,0.076,-21.1171885759,-24.8828232626,0.8293057743,0.4131515772,24.4029663184,174.9120254734,171.4800254734,171.2809155854,414.5716125388,"None","None","None",,"None","None",,"None","None","None","None",1
68,54,"HIPASSJ1103-23","run5/night1","04.06.2013","NGC_3511","check?Not nodding?",1,"11h03m23.8s ","-23d05m12s","not used","low snr","SAB(s)c;HII    Sy1  ","Sc",0.003699,0.00001,5.8,2,11.53,331.13,0.333,76,345.3,8,0.355,0.017,76,1113.9,1191,1102.7,1102.7,1122.4,1211.8,933.1,847.1,1478.5,902.2,1288.6,200.1,2521,"902.2;1288.6",265.2,110.9,310.9,310.9,0.4726,87.5,0.0167,0.0146,0.0138,211,198,36,1,0,0,1,33385,1.76,0.01,0.45,0.02,1.27,0.01,111.7252281998,76,11.53,"M",0.1,11.63,0.16,10.66,0.67,0.22,295,5,1144,"11032376-2305124",0.32,83,8.068,0.039," ",0.068,-20.8747980692,-23.6902218827,0.1131214906,0.9417422733,70.3462375626,264.222640453,260.790640453,260.8328992219,276.968451573,"None","None","None",,"None","None",,"None","None","None","None",1
69,55,"HIPASSJ1105-00","run1/night5","26.05.2012","NGC_3521","much cloud+some moon",1,"11h05m48.6s ","-00d02m09s","used",,"SAB(rs)bc;HII  LINER","Sbc",0.002672,0.00001,11,5.1,9.83,"                    ","                    ","                    ",657.9,15.3,0.468,0.022,163,797.8,900.9,799,799,797.2,985.9,665.7,598,1165.4,518.8,1082.7,200.1,3030.3,"518.8;1082.7",441.1,234.9,472.9,472.9,0.9331,282.5,0.0124,0.0104,0.0122,360,158,44,1,0,0,1,33550,2.04,0.01,0.33,0.02,1.26,0.01,109.1820515166,163,9.83,"M",0.1,9.85,0.15,9.29,0.48,0.06,439,5,782,"11054859-0002092",0.51,-14,5.783,0.021," ",0.057,-21.790568952,-25.4402393881,0.2073621778,0.8903020961,62.9112327088,439.9245216781,436.4925216781,436.5211580868,490.3067846516,137.0180719123,1.342101657,227.780437062,,71.3881479873,3.8979005054,"rotation velocity graph looks a bit strange",227.173429658,223.741429658,223.7630608822,251.3338583307,1
70,56,"HIPASSJ1123-08","run4/night3","17.03.2013","NGC_3660","Bad weather cond",0,"11h23m32.3s ","-08d39m31s","not used","few pixels to work","SB(r)bc;HII    Sy2  ","Sbc",0.012285,0.000007,2.7,2.2,13.06,"                    ","                    ","                    ",161.5,11.5,0.813,0.099,110,3680.2,3760.4,3678.8,3678.8,3676.7,3800.4,3527.6,3451.3,4047.1,3479.5,3877.8,2099.2,5274.4,"3479.5;3877.8",281.5,121.2,308.5,308.5,0.1044,22.2,0.0066,0.0059,0.0122,309,158,28,1,0,0,0,34980,1.43,0.03,0.09,0.05," "," ",,110," "," "," "," "," "," ",0.13,0.07," "," "," ","11233229-0839308",0.6,-70,9.524,0.042,6.685,0.041,"None",-24.4032348325,0.6557360471,0.5867401068,35.9260159342,278.0837412389,274.6517412389,274.6945537948,468.1707464967,"None","None","None",,"None","None",,"None","None","None","None",1
71,56,"HIPASSJ1123-08","run4/night3","17.03.2013","NGC_3660","Bad weather cond",0,"11h23m32.3s ","-08d39m31s","not used","few pixels to work","SB(r)bc;HII    Sy2  ","Sbc",0.012285,0.000007,2.7,2.2,13.06,"                    ","                    ","                    ",161.5,11.5,0.813,0.099,110,3680.2,3760.4,3678.8,3678.8,3676.7,3800.4,3527.6,3451.3,4047.1,3479.5,3877.8,2099.2,5274.4,"3479.5;3877.8",281.5,121.2,308.5,308.5,0.1044,22.2,0.0066,0.0059,0.0122,309,158,28,1,0,0,0,34980,1.43,0.03,0.09,0.05," "," ",,110," "," "," "," "," "," ",0.13,0.07," "," "," ","11233229-0839308",0.6,-70,9.524,0.042,6.685,0.041,"None",-24.4032348325,0.6557360471,0.5867401068,35.9260159342,278.0837412389,274.6517412389,274.6945537948,468.1707464967,"None","None","None",,"None","None",,"None","None","None","None",0
72,57,"HIPASSJ1124-13","run5/night1","04.06.2013","MCG-02-29-027","check?Not nodding?",1,"11h24m52.9s ","-13d34m21s","not used","low snr","SAB(s)b        HII  ","Sb",0.017979,0.000023,1.7,1.1,13.5,"                    ","                    ","                    ",101.9,12.4,0.631,0.077,"                    ",5395.5,5485.8," "," ",5382.5,5487.2,5221.4,5141.1,5750.5,5222.6,5596.7,3864.9,7006.2,"5222.6;5596.7",255.3,74.8," "," ",0.0473,8.7,0.0076,0.007,0.0122,309,158,28,1,1,0,0,35073,1.23,0.05,0.2,0.05,1.12,0.13,79.0954043134," ",13.5," ",0.3," "," ",13.12,0.27,0.07,256,11,5392,"11245291-1334205",0.92,40,10.831,0.076,1.891,0.037,"None",-23.8190686786,0.3893132818,0.7814644702,51.3948571643,250.7910281057,247.3590281057,247.3983291823,316.5829524128,"None","None","None",,"None","None",,"None","None","None","None",1
73,58,"HIPASSJ1125-26","run4/night1","15.03.2013","NGC_3673",,0,"11h25m12.8s ","-26d44m12s","used?","few pixels to work","SB(r)b         HII  ","Sb",0.006464,0.000017,3.6,2.4,12.34,206.54,0.7,70,217.8,10.3,0.661,0.047,70,1941.9,1857.5,1939.9,1939.9,1941,1811.4,1752.8,1664.7,2289.6,1741.5,2156.3,355.5,3531.1,"1741.5;2156.3",330.3,161.5,356,356,0.09,22.5,0.0075,0.0066,0.0138,211,106,28,1,0,0,0,35097,1.56,0.02,0.18,0.03," "," ",,70," "," "," ",12.34,0.16,11.81,0.25,0.27,313,5,2113,"11251284-2644121",0.36,85,8.547,0.033,9.9,0.056,-20.737934507,-24.1885583885,0.428283109,0.7561196274,49.1232967387,328.1786531858,324.7466531858,324.7850089528,429.5418306429,96.1601530977,2.0348631776,89.3082626852,,166.301327062,9.058327129,,88.7346817027,85.3026817027,82.8574014107,109.582397288,1
74,58,"HIPASSJ1125-26","run4/night1","15.03.2013","NGC_3673",,0,"11h25m12.8s ","-26d44m12s","used?","few pixels to work","SB(r)b         HII  ","Sb",0.006464,0.000017,3.6,2.4,12.34,206.54,0.7,70,217.8,10.3,0.661,0.047,70,1941.9,1857.5,1939.9,1939.9,1941,1811.4,1752.8,1664.7,2289.6,1741.5,2156.3,355.5,3531.1,"1741.5;2156.3",330.3,161.5,356,356,0.09,22.5,0.0075,0.0066,0.0138,211,106,28,1,0,0,0,35097,1.56,0.02,0.18,0.03," "," ",,70," "," "," ",12.34,0.16,11.81,0.25,0.27,313,5,2113,"11251284-2644121",0.36,85,8.547,0.033,9.9,0.056,-20.737934507,-24.1885583885,0.428283109,0.7561196274,49.1232967387,328.1786531858,324.7466531858,324.7850089528,429.5418306429,102.436092379,2.2942616419,78.6604745458,,164.220531198,6.6557814817,,78.1552788235,74.7232788235,71.7804493945,94.9326624917,0
75,59,"HIPASSJ1127-28","run4/night5","19.03.2013","IC_2764 ","so cloudy; there were no clear galaxy in the frame (non-reduced)",0,"11h27m05.0s ","-28d58m49s","not used","low snr","(R)SA(r)0/a         ","S0a",0.005574,0.000025,1.6,1.4,13.14,116.14,0.819,178,97.3,9.4,0.871,0.084,"                    ",1671.1,1721,1671.2,1671.2,1674.8,1744.6,1483.8,1394.8,2018.1,1554.4,1791,200.1,3030.3,"1554.4;1791.0",182.2,82.5,196.4,196.4,0.0652,9.4,0.0085,0.0071,0.0138,211,198,28,1,0,0,0,35222,1.21,0.04,0.06,0.04," "," ",," "," "," "," ",13.14,0.21,12.79,0.05,0.28," "," ",1635,"11270503-2858488",0.76,10,9.247,0.033,6.672,0.067,-19.4759936703,-23.1235011749,0.7550502993,0.4949239342,29.6647345992,181.1900466798,177.7580466798,177.6101646837,358.8635594374,"None","None","None",,"None","None",,"None","None","None","None",1
76,59,"HIPASSJ1127-28","run4/night5","19.03.2013","IC_2764 ","so cloudy; there were no clear galaxy in the frame (non-reduced)",0,"11h27m05.0s ","-28d58m49s","not used","low snr","(R)SA(r)0/a         ","S0a",0.005574,0.000025,1.6,1.4,13.14,116.14,0.819,178,97.3,9.4,0.871,0.084,"                    ",1671.1,1721,1671.2,1671.2,1674.8,1744.6,1483.8,1394.8,2018.1,1554.4,1791,200.1,3030.3,"1554.4;1791.0",182.2,82.5,196.4,196.4,0.0652,9.4,0.0085,0.0071,0.0138,211,198,28,1,0,0,0,35222,1.21,0.04,0.06,0.04," "," ",," "," "," "," ",13.14,0.21,12.79,0.05,0.28," "," ",1635,"11270503-2858488",0.76,10,9.247,0.033,6.672,0.067,-19.4759936703,-23.1235011749,0.7550502993,0.4949239342,29.6647345992,181.1900466798,177.7580466798,177.6101646837,358.8635594374,"None","None","None",,"None","None",,"None","None","None","None",0
